2021-07-04 21:07:878 INFO  BasePage :32 - Launching Chrome Browser 
2021-07-04 21:07:87 INFO  HomePage :20 - Mouse hover on : [[ChromeDriver: chrome on WINDOWS (30ffea6cfa12143270de2223aba60504)] -> xpath: //a[contains(text(),'buy + sell')]]
2021-07-04 21:07:311 INFO  HomePage :25 - Clicking on : [[ChromeDriver: chrome on WINDOWS (30ffea6cfa12143270de2223aba60504)] -> xpath: //a[contains(text(),'Search Cars')]]
2021-07-04 21:07:733 INFO  NewAndUsedCarSearchPage :27 - Getting text from : [[ChromeDriver: chrome on WINDOWS (30ffea6cfa12143270de2223aba60504)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2021-07-04 21:07:811 INFO  NewAndUsedCarSearchPage :31 - Select make from : [[ChromeDriver: chrome on WINDOWS (30ffea6cfa12143270de2223aba60504)] -> xpath: //select[@id='makes']]
2021-07-04 21:07:109 INFO  NewAndUsedCarSearchPage :35 - Select model from : [[ChromeDriver: chrome on WINDOWS (30ffea6cfa12143270de2223aba60504)] -> xpath: //select[@id='models']]
2021-07-04 21:07:250 INFO  NewAndUsedCarSearchPage :39 - Select location from : [[ChromeDriver: chrome on WINDOWS (30ffea6cfa12143270de2223aba60504)] -> xpath: //select[@id='locations']]
2021-07-04 21:07:433 INFO  NewAndUsedCarSearchPage :43 - Select price from : [[ChromeDriver: chrome on WINDOWS (30ffea6cfa12143270de2223aba60504)] -> xpath: //select[@id='priceTo']]
2021-07-04 21:07:585 INFO  NewAndUsedCarSearchPage :47 - Clicking on : [[ChromeDriver: chrome on WINDOWS (30ffea6cfa12143270de2223aba60504)] -> xpath: //input[@id='search-submit']]
2021-07-04 21:07:668 INFO  BasePage :32 - Launching Chrome Browser 
2021-07-04 21:07:855 INFO  BasePage :32 - Launching Chrome Browser 
2021-07-04 21:07:427 INFO  HomePage :20 - Mouse hover on : [[ChromeDriver: chrome on WINDOWS (db904a1fe6ca2c55df54e7f35fbc54a0)] -> xpath: //a[contains(text(),'buy + sell')]]
2021-07-04 21:07:869 INFO  HomePage :25 - Clicking on : [[ChromeDriver: chrome on WINDOWS (db904a1fe6ca2c55df54e7f35fbc54a0)] -> xpath: //a[contains(text(),'Search Cars')]]
2021-07-04 21:07:413 INFO  NewAndUsedCarSearchPage :27 - Getting text from : [[ChromeDriver: chrome on WINDOWS (db904a1fe6ca2c55df54e7f35fbc54a0)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
